Swiss exports by trading partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T 6.5.4
In CHF millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,India,  393,  310,  358,  405,  534,  660,  666,  591,  581,  512,  656,  656,  659,  759, 1 034, 1 387, 1 887, 2 304, 2 407, 2 155, 2 564, 2 983, 28 713, 23 980, 19 342, 20 613, 14 325, 19 511, 17 446, 17 947, 10 852, 28 706, 14 301, 15 074, 19 890
,Japan, 4 206, 3 767, 3 449, 3 221, 3 713, 3 845, 4 109, 4 448, 4 387, 4 853, 5 767, 5 383, 5 183, 5 409, 5 722, 5 892, 6 726, 6 730, 7 058, 7 147, 6 735, 6 658, 7 171, 6 425, 6 394, 6 592, 7 511, 7 467, 7 765, 8 136, 7 057, 7 717, 9 378, 7 682, 8 170
,Korea (South),  623,  663,  671,  616,  918,  975, 1 161, 1 173,  552,  712, 1 058, 1 058, 1 101, 1 105, 1 313, 1 289, 1 682, 1 895, 1 977, 1 895, 2 272, 2 323, 2 770, 2 885, 2 970, 2 874, 2 901, 3 258, 3 517, 3 663, 2 936, 3 332, 3 607, 3 213, 3 584
,Saudi Arabia,  859,  964, 1 093, 1 491, 1 082, 1 189,  901, 1 076,  917,  838,  986,  994, 1 333, 1 344, 1 113, 1 114, 1 226, 1 551, 1 661, 1 634, 1 632, 1 637, 3 661, 4 893, 4 587, 4 762, 2 767, 1 835, 1 941, 1 807, 1 614, 2 286, 4 808, 6 084, 6 448
,Singapore,  938,  797,  863, 1 311, 1 235, 1 270, 1 446, 1 522, 1 091, 1 283, 1 599, 1 580, 1 530, 1 365, 1 501, 1 633, 1 847, 2 110, 2 292, 2 081, 2 900, 3 153, 6 575, 11 426, 8 319, 7 661, 6 436, 7 290, 6 682, 6 179, 6 358, 7 404, 9 874, 7 719, 5 691
,Taiwan,  653,  644,  897,  954,  975,  938,  931, 1 085, 1 223, 1 328, 1 527, 1 308, 1 188, 1 332, 1 491, 1 346, 1 457, 1 564, 1 614, 1 192, 1 536, 1 808, 2 028, 1 940, 1 874, 1 903, 1 869, 1 875, 2 062, 2 061, 2 372, 2 443, 2 528, 1 943, 2 630
,Thailand,  569,  706,  724,  792,  903,  876,  895,  901,  577,  587,  753,  805,  852,  820,  848,  934, 1 033, 1 046, 1 169,  928, 1 111, 1 134, 5 851, 7 469, 2 887, 2 714, 2 036, 3 564, 3 766, 2 102, 1 974, 3 920, 6 136, 3 743, 4 415
,Türkiye,  811,  686,  684,  862,  583,  947, 1 145, 1 459, 1 332, 1 063, 1 412, 1 203, 1 676, 1 693, 1 997, 2 054, 2 321, 2 639, 2 471, 1 803, 2 112, 2 147, 4 126, 8 250, 4 490, 2 489, 2 307, 6 040, 2 793, 3 350, 5 857, 2 572, 12 190, 14 652, 8 032
North America,, 7 709, 7 913, 8 553, 8 948, 9 340, 8 989, 9 949, 12 242, 13 242, 15 662, 18 693, 17 055, 18 252, 16 936, 17 801, 19 804, 23 263, 22 970, 23 205, 21 352, 23 455, 24 104, 27 427, 28 827, 32 265, 33 043, 39 843, 39 860, 43 933, 48 674, 72 716, 61 479, 66 548, 60 627, 69 383
,Canada,  709,  703,  707,  692,  656,  760,  810,  810,  873,  970, 1 251, 1 377, 1 560, 1 438, 1 994, 2 269, 2 753, 2 896, 2 419, 2 516, 2 891, 2 772, 3 515, 3 522, 3 428, 3 509, 3 470, 3 582, 3 860, 4 458, 3 871, 3 814, 4 128, 3 964, 4 082
,USA, 6 976, 7 153, 7 787, 8 212, 8 673, 8 224, 9 134, 11 418, 12 355, 14 678, 17 427, 15 660, 16 675, 15 442, 15 780, 17 513, 20 477, 20 057, 20 729, 18 776, 20 558, 21 327, 23 909, 25 301, 28 834, 29 516, 36 368, 36 274, 40 068, 44 213, 68 842, 57 662, 62 415, 56 660, 65 297
Central and South America,, 2 180, 2 409, 2 721, 2 704, 2 885, 2 536, 2 844, 3 456, 3 927, 3 835, 4 431, 4 655, 4 292, 4 058, 4 170, 4 186, 4 869, 5 823, 6 362, 5 472, 6 106, 6 211, 6 808, 7 215, 7 084, 6 782, 6 406, 6 736, 7 132, 7 028, 5 847, 6 266, 7 171, 7 589, 8 187
,Brazil,  536,  507,  493,  546,  702,  804,  908, 1 081, 1 229, 1 077, 1 262, 1 236, 1 105, 1 165, 1 251, 1 139, 1 460, 1 867, 2 409, 1 999, 2 317, 2 228, 2 352, 2 227, 2 089, 2 049, 1 911, 2 223, 2 617, 2 515, 2 110, 2 166, 2 407, 2 810, 3 133
Africa,, 1 842, 1 872, 1 776, 1 806, 1 787, 1 765, 1 769, 1 771, 1 901, 1 915, 2 081, 2 142, 2 273, 2 027, 2 260, 2 240, 2 776, 3 152, 3 502, 3 611, 3 432, 3 264, 3 422, 5 048, 3 967, 3 350, 3 393, 3 488, 3 684, 3 758, 3 440, 3 498, 3 631, 3 408, 3 476
Oceania,,  874,  813,  846,  887, 1 002, 1 065,  994, 1 102, 1 037, 1 160, 1 223, 1 263, 1 213, 1 231, 1 480, 1 674, 1 858, 2 244, 2 376, 2 180, 2 438, 2 722, 3 360, 3 157, 2 784, 2 620, 2 567, 2 668, 3 003, 2 875, 2 402, 2 499, 2 870, 2 790, 2 716
,Australia,  694,  683,  714,  743,  843,  899,  835,  900,  880, 1 007, 1 054, 1 101, 1 055, 1 050, 1 287, 1 431, 1 646, 1 982, 2 127, 1 973, 2 179, 2 499, 3 069, 2 909, 2 545, 2 417, 2 338, 2 434, 2 747, 2 609, 2 172, 2 219, 2 584, 2 545, 2 482
1,"since 2002: including electricity, returned goods and goods for processing without change in ownership",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,since 2012: including gold and silver bars and coins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
³,including Luxemburg until 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,since 2013: new method for collecting flows of electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Federal Office for Customs and Border Security FOCBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enquiries: 058 462 66 10, stat@bazg.admin.ch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: 27.05.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© FSO 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
