"Migrations internationales de la population résidante permanente selon la nationalité, le sexe et l'âge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T 01.05.04.01.01
,Solde migratoire 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011 2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Femmes,"26,142 ","23,582 ","24,036 ","20,712 ","14,049 ","3,677 ","3,348 ","6,262 ","12,989 ","14,671 ","22,978 ","26,854 ","25,198 ","24,212 ","21,866 ","23,978 ","37,358 ","47,382 ","38,944 ","33,568 ","35,689 ","36,501 ","43,262 ","38,599 ","37,195 ","35,103 ","27,972 ","25,392 ","26,508 ","27,284 ","28,241 ","37,321 ","77,201 ","42,959 "
Âge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0–14 ans,"16,383 ","13,616 ","12,440 ","9,238 ","7,378 ","1,600 ",279 ,"1,621 ","4,917 ","3,894 ","8,447 ","8,659 ","7,617 ","7,434 ","6,426 ","7,254 ","10,967 ","14,141 ","11,186 ","10,377 ","8,938 ","9,458 ","13,027 ","10,061 ","10,149 ","10,972 ","8,125 ","7,909 ","7,857 ","7,495 ","7,405 ","10,738 ","24,818 ","13,053 "
15–19 ans,"7,056 ","6,702 ","5,280 ","4,704 ","3,726 ","2,161 ","1,980 ","2,407 ","3,262 ","2,991 ","3,797 ","4,604 ","3,996 ","3,797 ","3,938 ","3,852 ","4,938 ","5,598 ","4,659 ","4,842 ","4,805 ","5,162 ","6,417 ","5,089 ","6,172 ","9,148 ","6,003 ","4,408 ","4,137 ","4,806 ","4,899 ","5,993 ","14,135 ","9,720 "
20–39 ans,"38,550 ","33,566 ","31,011 ","28,576 ","18,015 ","9,635 ","10,143 ","12,584 ","19,786 ","23,371 ","32,307 ","37,517 ","35,560 ","36,070 ","33,514 ","36,726 ","58,338 ","67,443 ","52,459 ","46,058 ","50,058 ","51,227 ","55,597 ","51,364 ","51,088 ","51,921 ","39,782 ","36,660 ","38,714 ","39,477 ","42,568 ","55,115 ","78,921 ","58,155 "
40–64 ans,"-1,095 ","-6,752 ","-2,887 ","-3,358 ","-5,908 ","-8,894 ","-8,952 ","-6,777 ","-5,508 ","-3,981 ",197 ,"2,316 ","2,080 ","2,332 ","2,489 ","3,114 ","10,221 ","17,384 ","12,097 ","9,475 ","11,040 ","12,299 ","15,361 ","13,034 ","10,185 ","7,549 ","3,532 ","2,276 ","3,246 ","4,961 ","3,587 ","9,405 ","28,106 ","12,002 "
65–79 ans,"-1,060 ","-1,333 ",-773 ,-949 ,"-1,358 ","-1,708 ","-1,502 ","-1,393 ","-1,373 ","-1,225 ","-1,166 ","-1,291 ","-1,194 ","-1,395 ","-1,375 ","-1,205 ",-960 ,-938 ,"-1,030 ","-1,434 ",-924 ,-859 ,-797 ,-910 ,"-1,418 ","-2,012 ","-3,007 ","-3,107 ","-2,806 ","-2,474 ","-2,858 ","-2,786 ","1,446 ","-2,327 "
80 ans ou plus,-177 ,-270 ,-152 ,-227 ,-253 ,-384 ,-224 ,-257 ,-187 ,-152 ,-313 ,-308 ,-293 ,-354 ,-336 ,-303 ,-337 ,-265 ,-338 ,-351 ,-147 ,-140 ,-64 ,-96 ,-141 ,-259 ,-450 ,-394 ,-399 ,-182 ,-148 ,-271 ,325 ,-240 
Nationalité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe ,"49,939 ","37,391 ","37,602 ","30,400 ","14,787 ","-3,329 ","-5,960 ",-787 ,"7,700 ","11,725 ","21,591 ","31,441 ","32,489 ","34,934 ","32,563 ","36,738 ","66,753 ","84,352 ","60,783 ","51,713 ","59,713 ","64,116 ","71,704 ","65,937 ","55,993 ","47,219 ","38,401 ","36,260 ","39,301 ","45,939 ","43,776 ","62,661 ","125,316 ","72,201 "
Pays de l'UE,"17,698 ","1,788 ","1,933 ","5,554 ","-1,127 ","-9,544 ","-10,373 ","-5,956 ","-2,692 ","2,803 ","8,829 ","17,945 ","20,894 ","24,414 ","23,728 ","27,873 ","55,234 ","72,032 ","49,138 ","41,878 ","51,490 ","56,905 ","63,741 ","59,441 ","49,468 ","41,171 ","31,806 ","29,451 ","32,119 ","38,797 ","37,464 ","54,438 ","64,019 ","53,862 "
dont:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allemagne,"2,667 ","2,556 ","1,474 ","2,537 ","1,779 ","1,887 ","2,132 ","3,239 ","4,534 ","6,037 ","7,685 ","8,885 ","9,027 ","11,510 ","12,910 ","16,008 ","30,595 ","34,153 ","20,741 ","16,087 ","14,346 ","11,115 ","10,457 ","8,436 ","6,715 ","6,119 ","5,594 ","6,301 ","6,561 ","7,658 ","9,024 ","12,147 ","14,518 ","13,361 "
Espagne,"-1,432 ","-6,733 ","-4,296 ","-2,804 ","-3,364 ","-4,593 ","-4,376 ","-3,990 ","-4,179 ","-3,352 ","-2,517 ","-1,988 ","-1,799 ","-2,175 ","-2,288 ","-2,165 ","-2,204 ",161 ,734 ,811 ,"2,700 ","4,651 ","6,407 ","4,829 ","3,656 ","2,193 ","1,076 ","1,438 ","1,459 ","2,436 ","2,757 ","3,808 ","4,671 ","4,777 "
France,"1,173 ","1,227 ","1,020 ","1,768 ","1,159 ",958 ,"1,170 ","1,715 ","2,181 ","2,377 ","2,200 ","2,752 ","2,636 ","2,639 ","2,714 ","3,505 ","6,848 ","8,763 ","5,856 ","4,940 ","5,365 ","5,308 ","7,460 ","7,867 ","7,582 ","6,418 ","6,392 ","5,206 ","5,715 ","8,476 ","7,296 ","8,480 ","10,631 ","10,448 "
Croatie,* ,429 ,"1,416 ","1,961 ",858 ,-688 ,-844 ,"-1,040 ",-225 ,89 ,445 ,341 ,229 ,92 ,-22 ,-75 ,-38 ,20 ,71 ,-55 ,16 ,11 ,-126 ,126 ,104 ,118 ,142 ,360 ,239 ,257 ,212 ,"2,928 ","1,473 ",871 
Italie,"-1,432 ","-6,044 ","-3,478 ","-2,417 ","-4,140 ","-6,898 ","-6,091 ","-4,726 ","-3,985 ","-3,622 ","-2,383 ",-297 ,-204 ,-153 ,-456 ,-472 ,"2,213 ","4,993 ","3,475 ","3,987 ","5,385 ","8,523 ","11,733 ","12,049 ","10,956 ","9,980 ","6,901 ","7,126 ","6,839 ","8,735 ","7,357 ","9,149 ","9,789 ","8,197 "
Pays-Bas,351 ,394 ,94 ,397 ,336 ,101 ,-165 ,-273 ,72 ,241 ,385 ,290 ,286 ,398 ,498 ,481 ,"1,005 ","1,125 ",642 ,689 ,454 ,351 ,614 ,573 ,358 ,525 ,268 ,172 ,333 ,430 ,433 ,514 ,409 ,428 
Autriche,569 ,337 ,121 ,306 ,-70 ,48 ,9 ,107 ,233 ,863 ,"1,196 ","1,384 ",858 ,994 ,595 ,315 ,"1,430 ","1,805 ","1,300 ",917 ,"1,218 ","1,287 ","1,157 ","1,166 ","1,250 ","1,121 ","1,053 ",913 ,"1,043 ",978 ,"1,073 ","1,340 ","1,492 ","1,168 "
Portugal,"13,794 ","8,499 ","5,929 ","4,669 ","2,678 ","-1,124 ","-3,744 ","-3,155 ","-3,515 ","-2,409 ","-1,162 ","4,124 ","7,744 ","8,974 ","7,180 ","6,803 ","9,355 ","13,424 ","9,299 ","7,684 ","10,982 ","14,485 ","15,092 ","9,298 ","5,591 ","2,464 ",-858 ,"-2,176 ","-2,673 ","-2,530 ","-2,608 ","-1,318 ","2,207 ","2,128 "
Pays de l'AELE,117 ,45 ,-24 ,44 ,-30 ,-103 ,-15 ,85 ,-13 ,102 ,71 ,104 ,38 ,123 ,67 ,50 ,83 ,113 ,136 ,43 ,186 ,33 ,166 ,-8 ,30 ,39 ,21 ,35 ,-7 ,30 ,62 ,144 ,219 ,92 
Royaume-Uni,432 ,476 ,403 ,399 ,330 ,-66 ,-2 ,410 ,894 ,"1,095 ","1,415 ",836 ,820 ,739 ,883 ,"1,208 ","2,834 ","3,131 ","2,524 ","2,196 ","2,198 ",977 ,"1,241 ",872 ,459 ,72 ,684 ,636 ,928 ,"1,463 ",-238 ,-339 ,-13 ,-7 
Türkiye,"3,950 ","2,236 ","1,579 ",651 ,673 ,255 ,75 ,203 ,998 ,"1,075 ","1,729 ","2,222 ","2,072 ","1,604 ","1,387 ","1,080 ","1,131 ","1,279 ","1,416 ","1,052 ",635 ,450 ,398 ,295 ,362 ,488 ,656 ,838 ,"1,252 ","1,276 ","1,583 ","2,390 ","4,734 ","4,056 "
Yougoslavie ,"27,533 ","32,052 ","26,972 ","14,316 ","8,999 ","4,802 ","3,293 ","3,465 ",32 ,57 ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* 
Serbie-et-Monténégro ,* ,* ,* ,* ,* ,* ,* ,* ,"5,680 ","3,430 ","4,717 ","5,888 ","5,051 ","4,445 ","3,545 ","3,526 ","4,150 ","4,008 ","3,491 ",* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* 
Serbie 3,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,"1,147 ",265 ,445 ,406 ,283 ,371 ,421 ,284 ,162 ,165 ,134 ,61 ,195 ,310 ,-43 
Monténégro,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,40 ,49 ,47 ,66 ,18 ,38 ,60 ,21 ,20 ,42 ,15 ,14 ,32 ,26 ,0 
Kosovo ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,"2,271 ","1,963 ","2,043 ","2,182 ","1,971 ","2,133 ","2,027 ","2,029 ","2,081 ","1,734 ","1,448 ","1,762 ","1,735 ","1,711 ","1,421 "
Bosnie et Herzégovine,* ,69 ,"3,704 ","3,493 ","1,294 ",-121 ,118 ,17 ,309 ,395 ,817 ,"1,036 ",864 ,949 ,751 ,729 ,672 ,767 ,484 ,508 ,172 ,297 ,347 ,306 ,343 ,285 ,205 ,211 ,87 ,47 ,-1 ,62 ,26 ,-38 
Macédoine du Nord,* ,* ,602 ,"3,361 ","3,128 ","1,552 ","1,129 ","1,225 ","1,713 ","1,554 ","2,156 ","1,702 ","1,254 ","1,127 ",895 ,815 ,895 ,937 ,960 ,825 ,903 ,"1,033 ","1,020 ","1,037 ","1,287 ","1,445 ","1,434 ","1,393 ","1,394 ","1,178 ","1,463 ","1,520 ","1,463 ","1,077 "
Europe (non UE/AELE),"32,124 ","35,558 ","35,693 ","24,802 ","15,944 ","6,318 ","4,428 ","5,084 ","10,405 ","8,820 ","12,691 ","13,392 ","11,557 ","10,397 ","8,768 ","8,815 ","11,436 ","12,207 ","11,509 ","9,792 ","8,037 ","7,178 ","7,797 ","6,504 ","6,495 ","6,009 ","6,574 ","6,774 ","7,189 ","7,112 ","6,250 ","8,079 ","61,078 ","18,247 "
Afrique,"1,864 ","1,787 ","2,077 ","1,879 ","1,836 ","1,668 ","2,025 ","2,388 ","3,020 ","3,086 ","4,167 ","4,689 ","4,465 ","3,840 ","3,341 ","4,073 ","4,789 ","5,367 ","5,286 ","6,340 ","3,810 ","4,143 ","6,439 ","2,666 ","7,195 ","9,337 ","4,357 ","2,008 ","2,086 ","1,679 ","2,472 ","3,102 ","4,845 ","4,765 "
Amérique,"2,491 ","2,529 ","1,997 ","2,583 ","2,703 ","2,104 ","2,435 ","2,622 ","3,493 ","4,046 ","4,964 ","4,709 ","4,122 ","3,893 ","4,331 ","4,073 ","5,409 ","6,103 ","5,664 ","5,017 ","4,222 ","3,057 ","2,978 ","2,747 ","2,696 ","2,588 ","3,520 ","3,340 ","2,768 ","2,722 ","3,491 ","3,882 ","4,099 ","3,668 "
Asie,"5,215 ","3,738 ","3,152 ","3,064 ","2,261 ","1,898 ","3,138 ","3,803 ","6,383 ","5,779 ","12,173 ","10,460 ","6,661 ","5,096 ","4,381 ","4,387 ","5,896 ","7,145 ","7,063 ","5,685 ","5,841 ","5,735 ","8,185 ","7,052 ","9,840 ","17,792 ","7,643 ","6,162 ","6,485 ","3,719 ","5,741 ","8,306 ","13,157 ","9,612 "
Océanie,133 ,38 ,41 ,54 ,8 ,75 ,72 ,157 ,294 ,252 ,360 ,178 ,18 ,89 ,25 ,153 ,296 ,325 ,191 ,114 ,121 ,103 ,147 ,114 ,187 ,133 ,74 ,22 ,77 ,39 ,-49 ,187 ,235 ,47 
Apatride/sans indication,15 ,46 ,50 ,4 ,5 ,-6 ,14 ,2 ,7 ,10 ,14 ,20 ,11 ,32 ,15 ,14 ,24 ,71 ,46 ,98 ,63 ,-7 ,88 ,26 ,124 ,250 ,-10 ,-40 ,32 ,-15 ,22 ,56 ,99 ,70 
* Non indiqué car évident ou non pertinent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Jusqu'en 2010, incl. les changements de statut et les sorties du processus d’asile; dès 2011 y compris les passages de la population résidante non permanente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Dès 2011, changement des méthodes de production et de concept pour la population résidante permanente: la population résidante permanente comprend désormais les personnes dans le processus d'asile résidant depuis 12 mois ou plus en Suisse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Y compris les personnes n'ayant pu être attribuées à l'un des nouveaux états de l'ex-Serbie-et-Monténégro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 1991-2010: ESPOP, PETRA; dès 2011: STATPOP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© OFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renseignements: Office fédéral de la statistique (OFS), section Démographie et migration, info.dem@bfs.admin.ch, tél. 058 463 67 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
